title	href	time
关于技术转让 技术开发 技术咨询 技术服务类科研项目增值税政策变化的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17324&t=show	2016-12-28
财务处关于预约报销单年终清理工作的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17322&t=show	2016-12-25
关于2016年12月奖助学金发放的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17321&t=show	2016-12-20
关于2016年度下半年电费补贴发放的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17320&t=show	2016-12-20
关于2016年12月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17319&t=show	2016-12-10
关于生源地贷款发放的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17315&t=show	2016-12-09
财务处关于通过师生同济邮箱发送信息的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17308&t=show	2016-11-30
财政部 教育部关于印发《高等学校哲学社会科学繁荣计划专项资金管理办法》的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17297&t=show	2016-11-25
关于开展科研财务助理人员备案及培训工作的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17296&t=show	2016-11-18
关于做好2016年年终财务结算工作的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17293&t=show	2016-11-14
关于2016年11月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17292&t=show	2016-11-10
中共中央办公厅 国务院办公厅印发《关于实行以增加知识价值为导向分配政策的若干意见》	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17290&t=show	2016-11-09
关于2016年年底财务报销工作的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17287&t=show	2016-11-02
财政部 教育部进一步规范中央高校基本科研业务费的使用和管理	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17285&t=show	2016-10-28
关于2016年结题的国家自然基金预算调整的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17282&t=show	2016-10-19
关于同济大学本科生校外实习报销事项的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17278&t=show	2016-10-11
关于2016年会计人员继续教育培训的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17277&t=show	2016-10-10
关于2016年10月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17276&t=show	2016-10-09
关于住宿费暂停缴费的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17266&t=show	2016-09-19
关于2016年9月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17264&t=show	2016-09-18
关于从2016年9月1日起执行新的《同济大学差旅费管理办法》、《同济大学会议费管理办法》的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17259&t=show	2016-09-01
关于本科在校生学费及住宿费缴费的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17257&t=show	2016-08-25
关于征求《同济大学会议费管理办法》、《同济大学外埠差旅费管理办法》意见的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17252&t=show	2016-08-23
关于调整8月20日至9月6日财务网上预约与查询方式的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17245&t=show	2016-08-17
中共中央办公厅、国务院办公厅《关于进一步完善中央财政科研项目资金管理 等政策的若干意见》问答	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17235&t=show	2016-08-11
给科研人员“松绑”“加油”——财政部、科技部、教育部、发展改革委四部门负责人就进一步完善中央财政科研...	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17229&t=show	2016-08-02
中共中央办公厅 国务院办公厅印发 《关于进一步完善中央财政科研项目资金管理等政策的若干意见》	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17225&t=show	2016-08-01
关于办理增值税发票开票的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17224&t=show	2016-07-26
关于调整会议住宿费开支标准的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17211&t=show	2016-07-21
关于网上缴费平台及自助缴费机暂停使用的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17198&t=show	2016-07-15
关于同济大学开票信息变更的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17148&t=show	2016-07-12
关于新酬金预约办理注意事项的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17180&t=show	2016-07-11
财务处关于2016年暑假工作安排的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17166&t=show	2016-07-07
同济大学关于2016年度住房公积金基数调整的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17153&t=show	2016-07-05
关于2016年7月和8月酬金办理时间的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17149&t=show	2016-07-05
关于发布《同济大学财务处酬金预约指南（试用版）》的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17145&t=show	2016-07-04
关于发布农行公务卡常见问题回答及用卡指南的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17137&t=show	2016-06-30
同济大学银行账户信息	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17147&t=show	2016-06-30
关于经费卡（校园一卡通）报销校验的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17133&t=show	2016-06-30
关于7月1-3日暂停网上预约与查询的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=17132&t=show	2016-06-30
同济大学银行账户信息	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=16830&t=show	2016-06-25
关于发票开具等事项办理的告知书	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=16787&t=show	2016-06-17
关于规范校外人员劳务酬金发放方式的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=16785&t=show	2016-06-15
关于暂停代开增值税专用发票的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=16744&t=show	2016-06-13
同济大学学生学费住宿费缴费管理规定（2016版）(同济财内〔2015〕6号)	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=16896&t=show	2016-06-02
关于2015年度发票报销截止日期的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=16788&t=show	2016-05-25
关于开展暂付款项清查清理工作的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=16784&t=show	2016-05-12
关于落实营业税改征增值税工作有关事项的通知	http://tjcwc.tongji.edu.cn/index.php?classid=9701&newsid=16745&t=show	2016-04-22
