title	href	time
关于沪北校区中山北路校门临时关闭的通知	http://baowei.tongji.edu.cn/4b/d9/c3065a84953/page.htm	2018-01-03
关于办理2018年机动车进校证的通知	http://baowei.tongji.edu.cn/4a/ad/c3065a84653/page.htm	2017-12-22
各学院办理2017年本科生、研究生新生户口注意事项	http://baowei.tongji.edu.cn/28/d2/c3065a75986/page.htm	2017-09-04
嘉定校区在读学生补办身份证流程（此流程仅限身份证挂失补办）	http://baowei.tongji.edu.cn/f0/36/c3065a61494/page.htm	2017-04-24
学生办理出国签证流程	http://baowei.tongji.edu.cn/46/79/c3065a18041/page.htm	2015-11-30
户口迁移注意事项(学生)	http://baowei.tongji.edu.cn/46/78/c3065a18040/page.htm	2015-11-30
《户籍证明》办理流程	http://baowei.tongji.edu.cn/46/7c/c3065a18044/page.htm	2015-06-29
办理身份证流程	http://baowei.tongji.edu.cn/46/7d/c3065a18045/page.htm	2015-04-22
户政科办公时间及地址	http://baowei.tongji.edu.cn/46/7b/c3065a18043/page.htm	2015-03-04
